TimeStamp,Name,Time Stamp,Hub Wind Speed,Hub Turbulence,Shear Exponent,Profile Rotor Wind Speed,Profile Hub Wind Speed,Hub to Rotor Ratio,Hub to Rotor Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Base Power,Hub Power,Rotor Equivalent Wind Speed,REWS Power,Turbulence Power,Combined Power
10/8/11 2:10,Dataset 1,10/8/11 2:10,8.2,0.120732,0.333750962,7.891001493,7.785884562,1.013500962,0.013500962,8.2,8,0.13,962.4,962.4,8.310707888,1002.77,972.7217519,1012.815534
10/8/11 2:20,Dataset 1,10/8/11 2:20,9.11,0.093304,0.352188798,8.786993755,8.768980168,1.00205424,0.00205424,9.11,9,0.09,1297.91,1297.91,9.128714124,1305.53,1297.211762,1304.95272
10/8/11 2:30,Dataset 1,10/8/11 2:30,8.29,0.092883,0.308236084,8.074836964,7.99779387,1.009633043,0.009633043,8.29,8,0.09,995.43,995.43,8.369857928,1024.79,992.0593308,1021.460386
10/8/11 2:40,Dataset 1,10/8/11 2:40,6.87,0.187773,0.279579431,6.699338134,6.606547293,1.014045285,0.014045285,6.87,7,0.19,558.62,558.62,6.966491109,581.22,597.489243,621.5959423
10/8/11 2:50,Dataset 1,10/8/11 2:50,8.31,0.152828,0.19580872,7.98115756,7.902494345,1.009954226,0.009954226,8.31,8,0.15,1002.77,1002.77,8.392719619,1032.13,1027.312192,1055.198489
10/8/11 3:00,Dataset 1,10/8/11 3:00,8.32,0.144231,0.17573674,8.404936136,8.336652374,1.008190789,0.008190789,8.32,8,0.15,1006.44,1006.44,8.388147366,1032.13,1027.205775,1051.965957
10/8/11 3:10,Dataset 1,10/8/11 3:10,9.15,0.114754,0.248829787,8.951242609,8.811551424,1.015853188,0.015853188,9.15,9,0.11,1313.15,1313.15,9.295056674,1370.3,1313.099752,1367.870209
10/8/11 3:20,Dataset 1,10/8/11 3:20,9.03,0.097453,0.256099243,9.122834576,9.029005809,1.010391927,0.010391927,9.03,9,0.09,1267.43,1267.43,9.123839098,1301.72,1267.01243,1301.520832
10/8/11 3:30,Dataset 1,10/8/11 3:30,9.42,0.10828,0.254658888,8.891657419,8.938997105,0.994704139,-0.005295861,9.42,9,0.11,1416.02,1416.02,9.370112989,1396.97,1413.557974,1395.031678
10/8/11 3:40,Dataset 1,10/8/11 3:40,9.55,0.081675,0.323435392,9.171110304,9.104562802,1.007309247,0.007309247,9.55,10,0.09,1465.55,1465.55,9.619803313,1492.22,1472.272409,1500.711286
